mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0020074367523193358,0.0005379317974449718,0.001845550537109375,0.0007279257183931738,l1,,0.001,"{'penalty': 'l1', 'class_weight': None, 'C': 0.001}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0033965110778808594,0.0012109225602169311,0.0017987728118896485,0.0009396602765409267,l2,,0.005,"{'penalty': 'l2', 'class_weight': None, 'C': 0.005}",0.4521072796934866,0.46963562753036436,0.43824701195219123,0.47843137254901963,0.4596774193548387,0.4596197422159801,0.013909920295607194,23,0.46987951807228917,0.45764362220058424,0.47023809523809523,0.4595404595404595,0.46108374384236456,0.4636770877787585,0.005324599388966583
0.003698110580444336,0.0012076126926866225,0.0015398025512695312,0.0004432918532631733,l2,,2.0,"{'penalty': 'l2', 'class_weight': None, 'C': 2.0}",0.4596774193548387,0.4954954954954955,0.4344262295081967,0.48,0.5065502183406113,0.4752298725398284,0.025772969311168965,16,0.4894957983193277,0.4772727272727273,0.49894736842105264,0.48598130841121495,0.4885654885654886,0.48805253819796224,0.006950363441731048
0.003451824188232422,0.000578981324735247,0.0012938022613525391,0.0002693498841357464,l2,,0.05,"{'penalty': 'l2', 'class_weight': None, 'C': 0.05}",0.4578313253012048,0.5045045045045045,0.4302788844621514,0.4819277108433735,0.5,0.4749084850222468,0.027706348205754606,19,0.48491155046826223,0.4773662551440329,0.490134994807892,0.4794238683127572,0.4865424430641822,0.4836758223594253,0.004676648342637578
0.0030429840087890627,0.00030611409537975863,0.0015957355499267578,0.0006072849295522036,l2,balanced,0.1,"{'penalty': 'l2', 'class_weight': 'balanced', 'C': 0.1}",0.28517110266159695,0.283609576427256,0.28180039138943247,0.2857142857142857,0.29296875,0.2858528212385142,0.0038098480130601972,43,0.2874821513564969,0.2839907192575406,0.3023952095808383,0.29366602687140114,0.28914505283381364,0.29133583198001817,0.006345718078685807
0.011556625366210938,0.0011907486775468183,0.0014916419982910155,0.0005616001246528301,l1,balanced,50.0,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 50.0}",0.29411764705882354,0.29111531190926276,0.2925851703406814,0.2954091816367265,0.29435483870967744,0.29351642993103433,0.0015019662122267726,28,0.2929440389294404,0.28789323164918973,0.3070665988815455,0.3002469135802469,0.29846306395637084,0.29732276939935864,0.006525068069458892
0.020805168151855468,0.0030566715765308053,0.001960611343383789,0.0008544346111986709,l1,,5.0,"{'penalty': 'l1', 'class_weight': None, 'C': 5.0}",0.4596774193548387,0.4954954954954955,0.44081632653061226,0.48412698412698413,0.5065502183406113,0.4773332887697084,0.02397860412649286,1,0.4900105152471083,0.47678018575851394,0.49894736842105264,0.4864864864864865,0.48805815160955346,0.488056541504543,0.007099991529222703
0.012186717987060548,0.002433146881765756,0.00137176513671875,0.00039323178175419547,l1,balanced,0.5,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 0.5}",0.29296875,0.2900188323917137,0.288,0.29306930693069305,0.2937625754527163,0.2915638929550246,0.0021983013633159257,38,0.2916666666666667,0.28544423440453687,0.3058227848101266,0.2976015663240333,0.2952755905511811,0.2951621685513089,0.00672709510216603
0.05745677947998047,0.005898183044802433,0.0012431144714355469,0.00031117079166663556,l1,,20.0,"{'penalty': 'l1', 'class_weight': None, 'C': 20.0}",0.4596774193548387,0.4954954954954955,0.44081632653061226,0.48412698412698413,0.5065502183406113,0.4773332887697084,0.02397860412649286,1,0.48898216159496327,0.4772727272727273,0.4994731296101159,0.4864864864864865,0.48805815160955346,0.4880545313147692,0.007070374262487912
0.0037965297698974608,0.0015186869168514767,0.000984048843383789,5.2865006970853415e-05,l1,,0.05,"{'penalty': 'l1', 'class_weight': None, 'C': 0.05}",0.466403162055336,0.5021645021645021,0.42105263157894735,0.4899598393574297,0.5,0.4759160270312431,0.030221633397416195,13,0.47461139896373056,0.47706422018348627,0.4890738813735692,0.47767393561786087,0.4793388429752066,0.47955245582277073,0.004996746393587944
