mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
6.786738920211792,0.1319676011772991,0.24725937843322754,0.055083398732435195,800,5,2,,20,balanced,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 20, 'class_weight': 'balanced'}",0.6944444444444444,0.7941176470588235,0.7777777777777778,0.7552447552447552,0.8137931034482758,0.7670755455948153,0.04109400854553292,23,0.9841269841269841,0.9904458598726115,0.9888712241653418,0.985691573926868,0.9904153354632588,0.9879101955110128,0.002563742035359236
3.6294388294219972,0.16287696899817733,0.1453857421875,0.06130025197196555,400,5,1,,10,,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 10, 'class_weight': None}",0.7464788732394366,0.8115942028985508,0.8079470198675497,0.8085106382978723,0.8299319727891157,0.8008925414185051,0.02837767602787488,9,0.9585406301824212,0.9686985172981878,0.9603960396039604,0.9566666666666667,0.9550748752079867,0.9598753457918445,0.004759014242239623
3.7588931560516357,0.15854277663668007,0.3413732051849365,0.048810926126205134,800,10,5,sqrt,20,balanced,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.6739130434782609,0.7441860465116279,0.6532663316582915,0.6770833333333334,0.7351351351351352,0.6967167780233298,0.036118486576551145,36,0.8458390177353342,0.8567493112947658,0.8304405874499332,0.8389715832205683,0.8683473389355743,0.8480695677272351,0.01330455241293939
0.7595355987548829,0.10344617336174691,0.05311741828918457,0.012875499802386253,200,10,5,sqrt,5,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced'}",0.30115830115830117,0.28735632183908044,0.2830188679245283,0.27956989247311825,0.29296875,0.28881442667900564,0.007626344118915632,50,0.301556420233463,0.2891678289167829,0.2986077772443591,0.28743625405656004,0.31313131313131315,0.29797991871649565,0.009290555561909315
1.4296275615692138,0.21298447647219113,0.05353765487670899,0.012902534485675885,200,2,5,,,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': None, 'max_depth': None, 'class_weight': None}",0.7066666666666667,0.8251748251748252,0.8076923076923077,0.8133333333333334,0.8496732026143791,0.8005080670963023,0.0490876129103921,10,0.9270664505672609,0.9265175718849841,0.9111470113085622,0.9248,0.9292604501607717,0.9237582967843159,0.006464686214370297
1.003376054763794,0.06637388515632069,0.08238105773925782,0.0090791107884999,400,10,2,log2,5,balanced,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'class_weight': 'balanced'}",0.3046875,0.2923076923076923,0.2776735459662289,0.28256880733944956,0.2896281800391389,0.28937314513050194,0.009234562343588359,49,0.30258662762323085,0.2902473168455436,0.2996146435452794,0.2906704172526957,0.3150406504065041,0.29963193113465075,0.009105370681207273
1.116162157058716,0.13127366853951997,0.10412454605102539,0.019488873357633336,400,2,5,sqrt,10,,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10, 'class_weight': None}",0.7393939393939394,0.7945205479452054,0.7875,0.802547770700637,0.7926829268292683,0.7833290369738102,0.02249353076434282,20,0.8741935483870967,0.8830313014827018,0.8709677419354839,0.8741935483870967,0.8612903225806452,0.8727352925546048,0.006991028434921983
2.171938753128052,0.1605339404425649,0.15674958229064942,0.01213931217956776,800,5,5,log2,5,,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 5, 'class_weight': None}",0.656084656084656,0.6590909090909091,0.6435643564356436,0.6274509803921569,0.6938775510204082,0.6560136906047547,0.02197253090215142,43,0.7058823529411765,0.7036535859269283,0.6982872200263505,0.6980392156862745,0.699055330634278,0.7009835410430015,0.0031869951963344394
1.0642571449279785,0.14913188974133396,0.04715085029602051,0.005785469754178858,200,10,2,,10,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 10, 'class_weight': None}",0.72,0.8226950354609929,0.8079470198675497,0.8187919463087249,0.8552631578947368,0.8049394319064008,0.04530647566988569,4,0.9300813008130081,0.9293924466338259,0.9180327868852459,0.9269102990033222,0.9225700164744646,0.9253973699619735,0.00452592116044371
1.3148364543914794,0.16789913460343733,0.07161874771118164,0.02547720930566051,400,10,1,log2,20,,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.7792207792207793,0.8,0.8187919463087249,0.8345323741007195,0.7746478873239436,0.8014385973908335,0.022846356069047558,8,0.965964343598055,0.9854132901134521,0.9791332263242376,0.9754500818330606,0.9660743134087237,0.9744070510555058,0.007553486214676712
2.375436782836914,0.10949730627834207,0.3002015590667725,0.08229667020438552,800,2,2,log2,20,balanced,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'class_weight': 'balanced'}",0.726027397260274,0.7681159420289855,0.7222222222222222,0.7801418439716312,0.7571428571428571,0.7507300525251941,0.02294063756180984,28,0.9904153354632588,0.9983948635634029,0.9952,0.9967845659163987,0.992,0.9945589529886121,0.002959605065115085
2.314198112487793,0.18807544636761947,0.2640528678894043,0.06492285566492996,800,2,2,log2,20,,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'class_weight': None}",0.7777777777777778,0.7761194029850746,0.8142857142857143,0.8405797101449275,0.8,0.8017525210386989,0.02408131197599944,6,1.0,1.0,1.0,1.0,0.998389694041868,0.9996779388083736,0.0006441223832528209
0.6830965518951416,0.06823337780691631,0.06198859214782715,0.016926027404847523,200,10,1,sqrt,20,,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': None}",0.7712418300653595,0.7913669064748201,0.8163265306122449,0.8368794326241135,0.7746478873239436,0.7980925174200963,0.0251107465539738,12,0.965964343598055,0.9805825242718447,0.974025974025974,0.9787928221859706,0.966183574879227,0.9731098477922144,0.006132012160122037
