threshold,precision,recall,f1
0.0,0.145536384096024,1.0,0.2540929927963327
0.0025,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.005,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0075,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.01,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0125,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.015,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0175,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.02,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0225,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.025,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0275,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.03,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0325,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.035,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0375,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.04,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0425,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.045,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0475,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.05,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0525,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.055,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0575,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.06,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0625,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.065,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0675,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.07,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0725,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.075,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0775,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.08,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0825,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.085,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.08750000000000001,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.09,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0925,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.095,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.0975,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.1,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.10250000000000001,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.105,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.1075,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.11,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.1125,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.115,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.11750000000000001,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.12,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.1225,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.125,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.1275,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.13,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.1325,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.135,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.1375,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.14,0.3979289940828402,0.6932989690721649,0.5056390977443609
0.14250000000000002,0.3979289940828402,0.6932989690721649,0.5056390977443609
