threshold,precision,recall,f1
0.0,0.145536384096024,1.0,0.2540929927963327
0.0025,0.145536384096024,1.0,0.2540929927963327
0.005,0.145536384096024,1.0,0.2540929927963327
0.0075,0.14559099437148218,1.0,0.25417622011136587
0.01,0.14564564564564564,1.0,0.254259501965924
0.0125,0.1457550713749061,1.0,0.2544262295081967
0.015,0.14586466165413534,1.0,0.2545931758530184
0.0175,0.14591951861602107,1.0,0.25467673121102724
0.02,0.14602935641701167,1.0,0.2548440065681445
0.0225,0.14613935969868172,1.0,0.2550115018074269
0.025,0.14635986420218786,1.0,0.25534715366897004
0.0275,0.14669187145557655,1.0,0.25585229146060007
0.03,0.14670204700530706,0.9974226804123711,0.255783212161269
0.0325,0.1468133535660091,0.9974226804123711,0.25595238095238093
0.035,0.14698063045955184,0.9974226804123711,0.25620655412115195
0.0375,0.14709236031927023,0.9974226804123711,0.25637628353759523
0.04,0.14726027397260275,0.9974226804123711,0.256631299734748
0.0425,0.14748475609756098,0.9974226804123711,0.25697211155378485
0.045,0.14793577981651376,0.9974226804123711,0.2576564580559254
0.0475,0.14816232771822357,0.9974226804123711,0.258
0.05,0.14856046065259118,0.9974226804123711,0.25860340795188774
0.0525,0.1489607390300231,0.9974226804123711,0.2592096450100469
0.055,0.14942084942084943,0.9974226804123711,0.25990597716588315
0.0575,0.1498838109992254,0.9974226804123711,0.2606060606060606
0.06,0.15058365758754863,0.9974226804123711,0.2616632860040568
0.0625,0.15093603744149767,0.9974226804123711,0.2621951219512195
0.065,0.15170521364170914,0.9974226804123711,0.2633548826131337
0.0675,0.15224232887490166,0.9974226804123711,0.2641638225255973
0.07,0.15281076801266824,0.9948453608247423,0.26492793411118737
0.0725,0.15354017501988862,0.9948453608247423,0.2660234321157822
0.075,0.15421494206951658,0.9948453608247423,0.2670356278104462
0.0775,0.15461847389558234,0.9922680412371134,0.2675469075747047
0.08,0.15524193548387097,0.9922680412371134,0.2684797768479777
0.0825,0.15546558704453442,0.9896907216494846,0.26871938418474456
0.085,0.1563517915309446,0.9896907216494846,0.270042194092827
0.08750000000000001,0.1568627450980392,0.9896907216494846,0.27080394922425954
0.09,0.15750615258408532,0.9896907216494846,0.27176220806794055
0.0925,0.15761316872427983,0.9871134020618557,0.2718239886444287
0.095,0.15826446280991735,0.9871134020618557,0.2727920227920228
0.0975,0.15830915872358062,0.9845360824742269,0.27275972866833276
0.1,0.15903413821815154,0.9845360824742269,0.2738351254480287
0.10250000000000001,0.15954773869346733,0.9819587628865979,0.2744956772334294
0.105,0.16,0.979381443298969,0.2750633369525878
0.1075,0.16018596787827558,0.9768041237113402,0.27523602033405953
0.11,0.16100254885301615,0.9768041237113402,0.2764405543398979
0.1125,0.1612627986348123,0.9742268041237113,0.2767203513909224
0.115,0.16265060240963855,0.9742268041237113,0.27876106194690264
0.11750000000000001,0.1628509719222462,0.9716494845360825,0.27894931557528674
0.12,0.1634072142546719,0.9690721649484536,0.27965786537746373
0.1225,0.16433566433566432,0.9690721649484536,0.28101644245142005
0.125,0.1646180860403863,0.9664948453608248,0.2813203300825206
0.1275,0.16563604240282687,0.9664948453608248,0.2828054298642534
0.13,0.1660746003552398,0.9639175257731959,0.2833333333333333
0.1325,0.1669642857142857,0.9639175257731959,0.2846270928462709
0.135,0.16801437556154536,0.9639175257731959,0.2861514919663351
0.1375,0.16900135562584725,0.9639175257731959,0.2875816993464052
0.14,0.1692377495462795,0.961340206185567,0.28780864197530864
0.14250000000000002,0.16993166287015946,0.961340206185567,0.28881145954316684
0.145,0.17056396148555708,0.9587628865979382,0.2896068509147528
0.1475,0.17111315547378106,0.9587628865979382,0.2903981264637002
0.15,0.1726218097447796,0.9587628865979382,0.29256783326779395
0.1525,0.1736078614880674,0.9561855670103093,0.29386138613861384
0.155,0.17403574788334902,0.9536082474226805,0.294351630867144
0.1575,0.17438563327032136,0.9510309278350515,0.29472843450479236
0.16,0.1757979990471653,0.9510309278350515,0.29674306393244876
0.1625,0.17697841726618704,0.9510309278350515,0.2984229680549939
0.165,0.1780888030888031,0.9510309278350515,0.3
0.1675,0.17903930131004367,0.9510309278350515,0.30134748877092693
0.17,0.17902439024390243,0.9458762886597938,0.3010664479081214
0.17250000000000001,0.17990196078431372,0.9458762886597938,0.30230642504118616
0.17500000000000002,0.1807881773399015,0.9458762886597938,0.30355665839536805
0.1775,0.18204365079365079,0.9458762886597938,0.305324459234609
0.18,0.18304239401496258,0.9458762886597938,0.3067279565399081
0.1825,0.18405215646940823,0.9458762886597938,0.30814441645675905
0.185,0.18479355488418933,0.9458762886597938,0.3091828138163437
0.1875,0.18572874493927125,0.9458762886597938,0.31049069373942473
0.19,0.18705402650356778,0.9458762886597938,0.3123404255319149
0.1925,0.1882051282051282,0.9458762886597938,0.31394354148845166
0.195,0.18907779495105614,0.9458762886597938,0.3151567196221554
0.1975,0.19045147898287493,0.9458762886597938,0.31706263498920084
0.2,0.1917450365726228,0.9458762886597938,0.3188531711555169
0.2025,0.1924488725747247,0.9458762886597938,0.3198257080610022
0.20500000000000002,0.19376979936642028,0.9458762886597938,0.32164767747589834
0.20750000000000002,0.19500531349628056,0.9458762886597938,0.3233480176211454
0.21,0.19594233849439402,0.9458762886597938,0.32463511720477667
0.2125,0.1970998925886144,0.9458762886597938,0.32622222222222225
0.215,0.19773706896551724,0.9458762886597938,0.3270944741532977
0.2175,0.1983695652173913,0.9407216494845361,0.3276481149012567
0.22,0.19956260251503555,0.9407216494845361,0.3292737934145241
0.2225,0.20088300220750552,0.9381443298969072,0.33090909090909093
0.225,0.2017738359201774,0.9381443298969072,0.33211678832116787
0.2275,0.20222841225626742,0.9355670103092784,0.3325698579935868
0.23,0.20280112044817927,0.9329896907216495,0.3331799355729406
0.2325,0.20382882882882883,0.9329896907216495,0.3345656192236599
0.23500000000000001,0.20430107526881722,0.9304123711340206,0.33503480278422276
0.23750000000000002,0.20524515393386544,0.9278350515463918,0.33613445378151263
0.24,0.20618556701030927,0.9278350515463918,0.3373945641986879
0.2425,0.20679723502304148,0.9252577319587629,0.3380414312617702
0.245,0.2074159907300116,0.9226804123711341,0.3386944181646168
0.2475,0.20813953488372092,0.9226804123711341,0.3396584440227704
0.25,0.20913884007029876,0.9201030927835051,0.34081145584725536
0.2525,0.2106508875739645,0.9175257731958762,0.3426371511068335
0.255,0.21228384019081695,0.9175257731958762,0.3447941888619855
0.2575,0.21232057416267944,0.9149484536082474,0.3446601941747573
0.26,0.21346963319302464,0.9149484536082474,0.3461725987323257
0.2625,0.21480582524271843,0.9123711340206185,0.3477406679764244
0.265,0.21677893447642377,0.9123711340206185,0.3503216229589312
0.2675,0.2177121771217712,0.9123711340206185,0.3515392254220457
0.27,0.21898263027295287,0.9097938144329897,0.353
0.2725,0.22103944896681277,0.9097938144329897,0.3556675062972292
0.275,0.22313527180783818,0.9097938144329897,0.3583756345177665
0.2775,0.22527121888959795,0.9097938144329897,0.36112531969309464
0.28,0.22715572715572716,0.9097938144329897,0.3635427394438723
0.28250000000000003,0.22862694300518135,0.9097938144329897,0.36542443064182195
0.28500000000000003,0.22981770833333334,0.9097938144329897,0.36694386694386694
0.28750000000000003,0.23097112860892388,0.9072164948453608,0.3682008368200837
0.29,0.23311258278145697,0.9072164948453608,0.37091675447839834
0.2925,0.23466666666666666,0.9072164948453608,0.3728813559322034
0.295,0.23608316566063045,0.9072164948453608,0.3746673762639702
0.2975,0.23684210526315788,0.904639175257732,0.3754010695187166
0.3,0.23845108695652173,0.904639175257732,0.3774193548387097
0.3025,0.23956194387405885,0.9020618556701031,0.3785830178474851
0.305,0.2413554633471646,0.8994845360824743,0.38058887677208286
0.3075,0.2435450104675506,0.8994845360824743,0.3833058758923668
0.31,0.24405594405594405,0.8994845360824743,0.38393839383938394
0.3125,0.24525650035137034,0.8994845360824743,0.38542241855328546
0.315,0.2464689265536723,0.8994845360824743,0.3869179600886918
0.3175,0.24751066856330015,0.8969072164948454,0.3879598662207358
0.32,0.2489208633093525,0.8917525773195877,0.3892013498312711
0.3225,0.2498189717595945,0.8891752577319587,0.3900508762012436
0.325,0.25145772594752186,0.8891752577319587,0.39204545454545453
0.3275,0.25311812179016874,0.8891752577319587,0.39406053683609366
0.33,0.2548005908419498,0.8891752577319587,0.3960964408725603
0.3325,0.25595238095238093,0.8865979381443299,0.3972286374133949
0.335,0.25806451612903225,0.8865979381443299,0.399767576990122
0.3375,0.25925925925925924,0.884020618556701,0.4009351256575102
0.34,0.26183206106870227,0.884020618556701,0.4040047114252061
0.3425,0.26384615384615384,0.884020618556701,0.40639810426540285
0.34500000000000003,0.266304347826087,0.884020618556701,0.40930787589498807
0.34750000000000003,0.26817826426896013,0.884020618556701,0.41151769646070785
0.35000000000000003,0.2682926829268293,0.8788659793814433,0.4110910186859554
0.3525,0.26825396825396824,0.8711340206185567,0.41019417475728154
0.355,0.2679425837320574,0.865979381443299,0.4092570036540804
0.3575,0.268644747393745,0.8634020618556701,0.40978593272171254
0.36,0.27037933817594834,0.8634020618556701,0.41180086047940995
0.3625,0.27302363488182557,0.8634020618556701,0.4148606811145511
0.365,0.2742998352553542,0.8582474226804123,0.4157303370786517
0.3675,0.2762063227953411,0.8556701030927835,0.4176100628930818
0.37,0.2770780856423174,0.8505154639175257,0.41798606713109565
0.3725,0.2776371308016878,0.8479381443298969,0.41830896376350923
0.375,0.27928692699490665,0.8479381443298969,0.42017879948914433
0.3775,0.2811965811965812,0.8479381443298969,0.42233632862644416
0.38,0.2833763996554694,0.8479381443298969,0.42479018721755973
0.3825,0.2855902777777778,0.8479381443298969,0.42727272727272725
0.385,0.2867132867132867,0.845360824742268,0.4281984334203655
0.3875,0.2872246696035242,0.8402061855670103,0.42810242941562704
0.39,0.28900709219858156,0.8402061855670103,0.43007915567282323
0.3925,0.2905525846702317,0.8402061855670103,0.43178807947019865
0.395,0.2939585211902615,0.8402061855670103,0.4355377421509686
0.3975,0.2965328467153285,0.8376288659793815,0.4380053908355795
0.4,0.2981651376146789,0.8376288659793815,0.4397834912043302
0.4025,0.29907407407407405,0.8324742268041238,0.44005449591280654
0.405,0.3003731343283582,0.8298969072164949,0.4410958904109589
0.40750000000000003,0.30178069353327086,0.8298969072164949,0.44261168384879723
0.41000000000000003,0.30377358490566037,0.8298969072164949,0.4447513812154696
0.41250000000000003,0.3055028462998102,0.8298969072164949,0.44660194174757284
0.41500000000000004,0.3054234062797336,0.8273195876288659,0.4461431549687283
0.4175,0.3074712643678161,0.8273195876288659,0.4483240223463687
0.42,0.30776699029126214,0.8170103092783505,0.44710860366713684
0.4225,0.310107948969578,0.8144329896907216,0.449182658137882
0.425,0.3107569721115538,0.8041237113402062,0.4482758620689655
0.4275,0.3135678391959799,0.8041237113402062,0.4511930585683297
0.43,0.3148335015136226,0.8041237113402062,0.45250181290790426
0.4325,0.31637843336724314,0.8015463917525774,0.4536834427425237
0.435,0.31822863027806386,0.7963917525773195,0.45474613686534215
