mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_penalty,param_class_weight,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.015313434600830077,0.006847939467549928,0.0030548095703125,0.003182056544847737,l2,balanced,10.0,"{'penalty': 'l2', 'class_weight': 'balanced', 'C': 10.0}",0.4918032786885246,0.502283105022831,0.4365079365079365,0.44715447154471544,0.4329004329004329,0.4621298449328881,0.029078856559072542,13,0.5031712473572939,0.5030800821355236,0.524416135881104,0.5099685204616999,0.5130890052356021,0.5107449982142447,0.007862695876855345
0.007306861877441406,0.003693973389010145,0.0017037391662597656,0.0009802477515515515,l2,,0.2,"{'penalty': 'l2', 'class_weight': None, 'C': 0.2}",0.3269230769230769,0.33663366336633666,0.29906542056074764,0.2857142857142857,0.28846153846153844,0.30735959700519705,0.020659865383420854,23,0.3380281690140845,0.3269230769230769,0.3669724770642202,0.35545023696682465,0.34844868735083534,0.3471645294638083,0.013826397084352645
0.3135849952697754,0.1661780873931041,0.0015078067779541015,0.0006324689479818216,l1,balanced,2.0,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 2.0}",0.48535564853556484,0.5114155251141552,0.43824701195219123,0.45528455284552843,0.44155844155844154,0.4663722360011763,0.027996275415769597,9,0.49947089947089945,0.5020576131687243,0.5254237288135594,0.5067778936392076,0.5104166666666666,0.5088293603518115,0.009116342157088703
0.3071409225463867,0.14969799403298792,0.0018885135650634766,0.0008630945008592946,l1,balanced,5.0,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 5.0}",0.4896265560165975,0.509090909090909,0.43824701195219123,0.4489795918367347,0.43103448275862066,0.4633957103310107,0.030540592684718947,12,0.5010570824524313,0.5010266940451745,0.524416135881104,0.5062761506276151,0.5120167189132706,0.5089585563839191,0.008727338117203321
0.019857358932495118,0.011158446029958245,0.0019368171691894532,0.0017014907333180724,l1,,0.5,"{'penalty': 'l1', 'class_weight': None, 'C': 0.5}",0.33962264150943394,0.3300970873786408,0.3148148148148148,0.2608695652173913,0.29357798165137616,0.30779641811433145,0.028155921919690692,22,0.33490566037735847,0.3388235294117647,0.3532110091743119,0.3611111111111111,0.36065573770491804,0.34974140955589283,0.010951989357567887
0.009297323226928712,0.002743154750906914,0.0011171817779541016,0.00017166339025376443,l2,balanced,5.0,"{'penalty': 'l2', 'class_weight': 'balanced', 'C': 5.0}",0.48559670781893005,0.5114155251141552,0.43824701195219123,0.4489795918367347,0.4329004329004329,0.4634278539244889,0.030229208336874615,11,0.5021097046413502,0.5030800821355236,0.5254237288135594,0.5078698845750262,0.511482254697286,0.5099931309725491,0.008423392065025813
0.008946990966796875,0.00671427474153115,0.001587247848510742,0.0009248987718716735,l2,,1.0,"{'penalty': 'l2', 'class_weight': None, 'C': 1.0}",0.4036697247706422,0.36538461538461536,0.35398230088495575,0.2857142857142857,0.3063063063063063,0.34301144661216104,0.04226245853089192,20,0.38031319910514544,0.34965034965034963,0.40789473684210525,0.38031319910514544,0.4,0.3836342969405491,0.02016617581959872
0.020070552825927734,0.024409176456292973,0.001029825210571289,0.00018946052662318787,l1,,0.2,"{'penalty': 'l1', 'class_weight': None, 'C': 0.2}",0.3018867924528302,0.3300970873786408,0.28846153846153844,0.2702702702702703,0.28846153846153844,0.2958354454049636,0.019863565131739525,25,0.3069544364508393,0.30024213075060535,0.3177570093457944,0.319047619047619,0.30097087378640774,0.30899441387625315,0.008037302743600686
0.02854018211364746,0.02467604728830414,0.0009993553161621095,0.00010485394315586034,l1,,0.1,"{'penalty': 'l1', 'class_weight': None, 'C': 0.1}",0.27184466019417475,0.33663366336633666,0.2549019607843137,0.2616822429906542,0.28846153846153844,0.28270481315940355,0.029238162561848056,26,0.28078817733990147,0.2617283950617284,0.31026252983293556,0.30843373493975906,0.2878411910669975,0.2898108056482644,0.018105223031281738
0.003949165344238281,0.0003820752464048342,0.0008636474609375,2.289940638374079e-05,l2,,0.5,"{'penalty': 'l2', 'class_weight': None, 'C': 0.5}",0.3888888888888889,0.36538461538461536,0.32727272727272727,0.29310344827586204,0.3119266055045872,0.3373152570653361,0.035065220504291825,21,0.3744292237442922,0.3568075117370892,0.3901345291479821,0.3789954337899543,0.3789954337899543,0.3758724264418544,0.010848665633329568
0.007489728927612305,0.0032761815616855696,0.0018045425415039063,0.0011707620629703925,l2,,0.1,"{'penalty': 'l2', 'class_weight': None, 'C': 0.1}",0.3106796116504854,0.32323232323232326,0.27722772277227725,0.29906542056074764,0.28,0.2980410156431667,0.017629843437133953,24,0.3170731707317073,0.2962962962962963,0.330188679245283,0.31784841075794623,0.3325301204819277,0.31878733550263216,0.01287261871760549
0.25429835319519045,0.15311466543210178,0.0016485214233398437,0.0008949491193677606,l1,balanced,10.0,"{'penalty': 'l1', 'class_weight': 'balanced', 'C': 10.0}",0.48760330578512395,0.509090909090909,0.43824701195219123,0.4489795918367347,0.43478260869565216,0.4637406854721222,0.029436218900945464,10,0.5015806111696522,0.5030800821355236,0.5233050847457628,0.5099685204616999,0.5136268343815513,0.510312226578838,0.00785447825166616
0.005047512054443359,0.0014461587063860997,0.0016392230987548827,0.0009500765002309193,l1,,0.01,"{'penalty': 'l1', 'class_weight': None, 'C': 0.01}",0.07228915662650602,0.07407407407407407,0.09302325581395349,0.15053763440860216,0.024691358024691357,0.08292309578956543,0.040635108454993456,30,0.054380664652567974,0.04294478527607362,0.10465116279069768,0.14565826330532214,0.060790273556231005,0.08168502991617847,0.03821764935219673
0.014695167541503906,0.011215747104524972,0.0009570121765136719,6.78195886584846e-05,l1,,0.05,"{'penalty': 'l1', 'class_weight': None, 'C': 0.05}",0.2268041237113402,0.30612244897959184,0.24242424242424243,0.25742574257425743,0.28846153846153844,0.2642476192301941,0.029204891316616494,28,0.2506393861892583,0.23469387755102042,0.26932668329177056,0.2736318407960199,0.24806201550387597,0.25527076066638904,0.014363300313552263
0.007430410385131836,0.002486252535864267,0.000972127914428711,5.9159447295532875e-05,l2,,5.0,"{'penalty': 'l2', 'class_weight': None, 'C': 5.0}",0.39285714285714285,0.38095238095238093,0.3448275862068966,0.29508196721311475,0.3508771929824561,0.35291925404239827,0.034046109959393396,17,0.3794642857142857,0.365296803652968,0.4146868250539957,0.40522875816993464,0.41318681318681316,0.3955726971555994,0.019722865561247437
