mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0010622024536132812,0.0001806595855517424,0.09980368614196777,0.01448495232375287,distance,1,31,"{'weights': 'distance', 'p': 1, 'n_neighbors': 31}",0.12048192771084337,0.16666666666666666,0.09876543209876543,0.16470588235294117,0.12048192771084337,0.134220367308012,0.026894872542728328,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.001056814193725586,0.00013047963793013124,0.051180791854858396,0.003286708501731088,distance,2,9,"{'weights': 'distance', 'p': 2, 'n_neighbors': 9}",0.20689655172413793,0.3541666666666667,0.3404255319148936,0.26373626373626374,0.2857142857142857,0.29018785995124957,0.05343080240463061,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0011268138885498046,0.0006027330211978063,0.06876864433288574,0.01874604313683336,uniform,1,21,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 21}",0.12048192771084337,0.20930232558139536,0.12195121951219512,0.14285714285714285,0.20689655172413793,0.1602978334771429,0.039831715083658396,26,0.2028985507246377,0.17595307917888564,0.21264367816091953,0.2028985507246377,0.2028985507246377,0.19945848190274365,0.01234386955598178
0.001755666732788086,0.0005848682780433234,0.055586051940917966,0.007212873733334787,distance,1,11,"{'weights': 'distance', 'p': 1, 'n_neighbors': 11}",0.16470588235294117,0.32608695652173914,0.28888888888888886,0.20689655172413793,0.2857142857142857,0.25445851304039857,0.0593475911922939,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0006863117218017578,7.280799071327294e-05,0.05060129165649414,0.008450931138492178,uniform,1,7,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 7}",0.29473684210526313,0.3368421052631579,0.3010752688172043,0.27956989247311825,0.3711340206185567,0.31667162585546005,0.03308752149640335,10,0.47174447174447176,0.46798029556650245,0.498812351543943,0.45893719806763283,0.4867469879518072,0.4768442609748715,0.014183805129440586
0.001072835922241211,0.0007291528458472674,0.04789071083068848,0.0050162270109035505,distance,1,7,"{'weights': 'distance', 'p': 1, 'n_neighbors': 7}",0.29473684210526313,0.3333333333333333,0.2826086956521739,0.27956989247311825,0.3711340206185567,0.312276556836489,0.035114493740272625,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0012526988983154296,0.0007598120457123362,0.012921524047851563,0.004307446133601781,uniform,2,31,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 31}",0.14285714285714285,0.14457831325301204,0.14457831325301204,0.0975609756097561,0.20689655172413793,0.14729425933941218,0.03481457596184248,28,0.18181818181818182,0.15976331360946747,0.17595307917888564,0.18181818181818182,0.16568047337278108,0.17300664595949958,0.00886596248128516
0.0009946823120117188,0.0005771325615756856,0.05322585105895996,0.007270567758566059,distance,1,21,"{'weights': 'distance', 'p': 1, 'n_neighbors': 21}",0.12048192771084337,0.20930232558139536,0.12195121951219512,0.14285714285714285,0.22727272727272727,0.1643730685868608,0.045086551837988875,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0012294292449951173,0.0005634723302896184,0.04841346740722656,0.001759395041177789,uniform,1,9,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9}",0.1839080459770115,0.30434782608695654,0.35789473684210527,0.24719101123595505,0.30434782608695654,0.279537889245797,0.05926592433760197,14,0.4092071611253197,0.40816326530612246,0.4221105527638191,0.4,0.41836734693877553,0.4115696652268073,0.007853164027762807
0.0005977630615234375,4.778812421892862e-05,0.03993644714355469,0.003555623895763406,uniform,1,3,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 3}",0.3269230769230769,0.41904761904761906,0.45045045045045046,0.40384615384615385,0.46846846846846846,0.4137471537471538,0.04900224346193475,1,0.6468085106382979,0.6790123456790124,0.6694045174537988,0.6735966735966736,0.6540880503144654,0.6645820195364496,0.012155457993458829
