mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_max_iter,param_max_depth,param_learning_rate,param_l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2792473316192627,0.008775488398095742,0.011835765838623048,0.0035689482087132396,80,600,4,0.08,1.0,"{'min_samples_leaf': 80, 'max_iter': 600, 'max_depth': 4, 'learning_rate': 0.08, 'l2_regularization': 1.0}",0.7407407407407407,0.7972972972972973,0.7904191616766467,0.7701863354037267,0.7973856209150327,0.7792058312066888,0.02165391035572537,14,0.9717868338557993,0.9779874213836478,0.9810725552050473,0.9763779527559056,0.9794628751974723,0.9773375276795745,0.0031818510484904294
0.3786896228790283,0.029210412181216092,0.020714235305786134,0.01197473841743463,80,1000,3,0.1,0.1,"{'min_samples_leaf': 80, 'max_iter': 1000, 'max_depth': 3, 'learning_rate': 0.1, 'l2_regularization': 0.1}",0.7225806451612903,0.7891156462585034,0.7777777777777778,0.7692307692307693,0.821917808219178,0.7761245293295037,0.032196267488887945,18,0.9904153354632588,0.9952,0.9952,0.9951845906902087,0.9904153354632588,0.9932830523233452,0.0023414877719076864
0.4504709720611572,0.021767692450048514,0.01716604232788086,0.004282269600898113,80,1000,4,0.05,5.0,"{'min_samples_leaf': 80, 'max_iter': 1000, 'max_depth': 4, 'learning_rate': 0.05, 'l2_regularization': 5.0}",0.7349397590361446,0.8,0.7878787878787878,0.775,0.7924528301886793,0.7780542754207224,0.023037553573136638,16,0.9538461538461539,0.9598765432098766,0.9703588143525741,0.9657320872274143,0.9702660406885759,0.964015927864919,0.006368675390948244
0.32959322929382323,0.023475510582517612,0.01294412612915039,0.003105219255734287,80,600,5,0.05,10.0,"{'min_samples_leaf': 80, 'max_iter': 600, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 10.0}",0.7218934911242604,0.782051282051282,0.7664670658682635,0.7380952380952381,0.7901234567901234,0.7597261067858335,0.02595016052117359,29,0.9379727685325264,0.9409984871406959,0.9337349397590361,0.9451219512195121,0.9365558912386707,0.9388768075780882,0.003902462996300779
0.21613988876342774,0.018777949617585585,0.009869813919067383,0.004816933315802982,80,600,3,0.1,5.0,"{'min_samples_leaf': 80, 'max_iter': 600, 'max_depth': 3, 'learning_rate': 0.1, 'l2_regularization': 5.0}",0.7530864197530864,0.7973856209150327,0.7674418604651163,0.7337278106508875,0.7682926829268293,0.7639868789421905,0.020882452131095346,27,0.9333333333333333,0.9349470499243571,0.9553158705701078,0.9418960244648318,0.9435114503816794,0.9418007457348618,0.007800825684218297
0.20932517051696778,0.012240806550684975,0.009296035766601563,0.0023187198524546675,30,600,3,0.1,5.0,"{'min_samples_leaf': 30, 'max_iter': 600, 'max_depth': 3, 'learning_rate': 0.1, 'l2_regularization': 5.0}",0.779874213836478,0.8187919463087249,0.8227848101265823,0.7973856209150327,0.7950310559006211,0.8027735294174878,0.015939856609069828,9,0.9825673534072901,0.9873015873015873,0.9826224328593997,0.9824561403508771,0.9794628751974723,0.9828820778233253,0.0025128032283035667
0.1921764373779297,0.010468723351134945,0.009721803665161132,0.0028218189496461072,120,600,3,0.1,1.0,"{'min_samples_leaf': 120, 'max_iter': 600, 'max_depth': 3, 'learning_rate': 0.1, 'l2_regularization': 1.0}",0.7218934911242604,0.7631578947368421,0.7602339181286549,0.7317073170731707,0.7777777777777778,0.7509540797681412,0.020830338265448767,31,0.9335347432024169,0.9395770392749244,0.9337349397590361,0.9349470499243571,0.9465648854961832,0.9376717315313836,0.004954902154265535
0.3656670093536377,0.024314327850425248,0.012175941467285156,0.0020223972277780473,50,600,5,0.03,0.1,"{'min_samples_leaf': 50, 'max_iter': 600, 'max_depth': 5, 'learning_rate': 0.03, 'l2_regularization': 0.1}",0.7407407407407407,0.8133333333333334,0.7380952380952381,0.7484662576687117,0.8026315789473685,0.7686534297570785,0.03246922114455759,24,0.9595015576323987,0.9703588143525741,0.9657320872274143,0.9641185647425897,0.96875,0.9656922047909953,0.0037928723203754407
0.33840646743774416,0.011354573063638252,0.012020730972290039,0.0016336526956794383,80,1000,3,0.08,0.1,"{'min_samples_leaf': 80, 'max_iter': 1000, 'max_depth': 3, 'learning_rate': 0.08, 'l2_regularization': 0.1}",0.7096774193548387,0.7866666666666666,0.7757575757575758,0.7612903225806451,0.8026315789473685,0.767204712661419,0.031784749364735874,25,0.9702660406885759,0.9779874213836478,0.9841772151898734,0.9794628751974723,0.9794628751974723,0.9782712855314084,0.004514073567042471
0.5535916328430176,0.033422147948099785,0.017047357559204102,0.0033189431905810266,30,1000,4,0.08,5.0,"{'min_samples_leaf': 30, 'max_iter': 1000, 'max_depth': 4, 'learning_rate': 0.08, 'l2_regularization': 5.0}",0.7948717948717948,0.8251748251748252,0.8157894736842105,0.8472222222222222,0.8344370860927153,0.8234990804091536,0.017687255634648503,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
