mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.3982110500335694,0.012611422463170867,0.186391019821167,0.04301727783902016,600,5,20,log2,16,balanced,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': 16, 'class_weight': 'balanced'}",0.559322033898305,0.5964912280701754,0.551440329218107,0.5381526104417671,0.6008583690987125,0.5692529141454135,0.024995879592456218,28,0.6372045220966084,0.6232464929859719,0.6321138211382114,0.6372045220966084,0.618,0.62955387166348,0.007705753974929156
0.8156941413879395,0.06585961386130718,0.05953793525695801,0.005909866421178777,300,10,20,sqrt,8,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 8, 'class_weight': None}",0.6213592233009708,0.6666666666666666,0.6103286384976526,0.6037735849056604,0.6571428571428571,0.6318541941027614,0.02535128909340723,19,0.6473429951690821,0.6543665436654367,0.653610771113831,0.6577017114914425,0.652014652014652,0.6530073346908888,0.0033858209997754923
0.823395824432373,0.15608158624863713,0.05721120834350586,0.011732158790403863,300,5,20,sqrt,16,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 16, 'class_weight': None}",0.6213592233009708,0.6631578947368421,0.6103286384976526,0.6103286384976526,0.6571428571428571,0.632463450435195,0.023040944797027268,18,0.6481257557436517,0.6496350364963503,0.6593137254901961,0.6577669902912622,0.6520681265206812,0.6533819269084284,0.004422840938096855
0.7799445629119873,0.09925613197427559,0.05670018196105957,0.013600895124370169,300,10,5,log2,5,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 5, 'class_weight': None}",0.6391752577319587,0.6514285714285715,0.6372549019607843,0.6336633663366337,0.6802030456852792,0.6483450286286454,0.017012162134445778,11,0.7058823529411765,0.7131147540983607,0.7019867549668874,0.7063492063492064,0.7009472259810555,0.7056560588673373,0.004284873282923364
2.460128974914551,0.08783943105172139,0.28763160705566404,0.04142694973904259,1000,10,10,sqrt,16,balanced,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 16, 'class_weight': 'balanced'}",0.5855855855855856,0.6536585365853659,0.5814977973568282,0.5702127659574469,0.6301369863013698,0.6042183343573193,0.03204962067022513,25,0.6731813246471227,0.6624068157614483,0.6775599128540305,0.6919642857142857,0.6717226435536294,0.6753669965061033,0.009657159479065515
2.697850561141968,0.2546847210504043,0.2211979866027832,0.1044443609842235,1000,10,5,sqrt,8,balanced,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 8, 'class_weight': 'balanced'}",0.5349794238683128,0.5774058577405857,0.4657534246575342,0.5075757575757576,0.47491638795986624,0.5121261703604114,0.04083972205385358,33,0.6268958543983822,0.6314720812182741,0.553873552983081,0.6187624750499002,0.5196982397317687,0.5901404406762812,0.045068562471679154
1.001949405670166,0.11145623318051819,0.0586390495300293,0.013968503994398775,300,5,10,log2,16,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 16, 'class_weight': 'balanced'}",0.593607305936073,0.6536585365853659,0.5764192139737991,0.5677966101694916,0.6363636363636364,0.6055690606056732,0.03370596013023706,22,0.6753812636165577,0.6624068157614483,0.678298800436205,0.6904231625835189,0.670995670995671,0.6755011426786803,0.009189870624333256
1.5207826614379882,0.061212082701038686,0.1423964023590088,0.058958359862039254,600,5,20,log2,12,,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': 12, 'class_weight': None}",0.624390243902439,0.6701570680628273,0.6103286384976526,0.6103286384976526,0.6634615384615384,0.6357332254844219,0.02597425490567774,14,0.6520681265206812,0.6512758201701093,0.6609547123623011,0.6609547123623011,0.6552567237163814,0.6561020190263548,0.004180341458156073
0.7424052715301513,0.07078560044009406,0.06267156600952148,0.014496641474352104,300,20,5,log2,16,,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 16, 'class_weight': None}",0.7368421052631579,0.7792207792207793,0.7471264367816092,0.7272727272727273,0.8,0.7580924097076547,0.027292251460744488,3,0.8465116279069768,0.8359133126934984,0.84,0.8351309707241911,0.8390092879256966,0.8393130398500727,0.0040356336901397
1.4906416893005372,0.041855696205966256,0.14301056861877443,0.05057027008034805,600,10,10,log2,12,,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 12, 'class_weight': None}",0.6994535519125683,0.7453416149068323,0.6878306878306878,0.7103825136612022,0.7472527472527473,0.7180522231128076,0.02414728855515686,5,0.7758620689655172,0.7958579881656804,0.7821067821067821,0.7709815078236131,0.7824817518248175,0.781458019777282,0.008365404684236886
0.8865058898925782,0.08208884336697059,0.06020288467407227,0.008747907020999895,300,5,20,log2,12,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': 12, 'class_weight': None}",0.624390243902439,0.6631578947368421,0.6103286384976526,0.6103286384976526,0.6634615384615384,0.6343333908192249,0.02421001218429264,16,0.6496969696969697,0.6488456865127582,0.660122699386503,0.6577344701583435,0.6520681265206812,0.6536935904550512,0.00446720121661246
1.5202773094177247,0.2243640039082606,0.10747933387756348,0.02035974647716802,600,20,10,sqrt,8,,"{'n_estimators': 600, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 8, 'class_weight': None}",0.6956521739130435,0.7361963190184049,0.6914893617021277,0.6918918918918919,0.7311827956989247,0.7092825084448785,0.02004390888000247,7,0.7624466571834992,0.7748538011695907,0.7646219686162625,0.7598870056497176,0.7739130434782608,0.7671444952194661,0.006104926228797775
1.5604878425598145,0.10397409049709742,0.1133195400238037,0.019723331884327292,600,5,10,log2,16,,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 16, 'class_weight': None}",0.7071823204419889,0.7439024390243902,0.6914893617021277,0.6994535519125683,0.7513812154696132,0.7186817777101376,0.024276427496858016,4,0.7792207792207793,0.7964601769911505,0.7727272727272727,0.7776183644189383,0.7888563049853372,0.7829765796686956,0.008535143431718862
1.7540735244750976,0.1652612721298063,0.17751579284667968,0.04921823103254217,600,5,10,sqrt,12,balanced,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 12, 'class_weight': 'balanced'}",0.5855855855855856,0.6568627450980392,0.575107296137339,0.5677966101694916,0.6363636363636364,0.6043431746708184,0.035569229296248395,24,0.6813186813186813,0.6617021276595745,0.6746203904555315,0.6858407079646017,0.6645230439442658,0.6736009902685309,0.009320994174651098
0.6866680145263672,0.06138920330634125,0.0693819522857666,0.016685896460918725,300,10,10,log2,5,,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 5, 'class_weight': None}",0.6294416243654822,0.6444444444444445,0.6341463414634146,0.6153846153846154,0.6699507389162561,0.6386735529148426,0.01821902474210246,12,0.6743886743886743,0.6753246753246753,0.6725888324873096,0.6793893129770993,0.6736020806241872,0.6750587151603892,0.0023450318328618203
2.8678306102752686,0.24817219640402463,0.27781143188476565,0.060472328201802754,1000,5,10,sqrt,16,,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 16, 'class_weight': None}",0.7150837988826816,0.7317073170731707,0.6914893617021277,0.6918918918918919,0.7555555555555555,0.7171455850210855,0.024444269882947244,6,0.782608695652174,0.7894736842105263,0.7793696275071633,0.7677053824362606,0.7870778267254038,0.7812470433063057,0.007621430602723
2.0330121994018553,0.19092437582914473,0.10830917358398437,0.033058993237916244,600,10,5,sqrt,16,balanced,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 16, 'class_weight': 'balanced'}",0.6739130434782609,0.7325581395348837,0.6467661691542289,0.6770833333333334,0.7272727272727273,0.6915186825546868,0.03311710746130778,9,0.8344549125168237,0.8508891928864569,0.8282290279627164,0.8355795148247979,0.8493150684931506,0.8396935433367891,0.008873780608074484
0.9443928241729737,0.10141630099013074,0.06559576988220214,0.01737663337403326,300,5,20,sqrt,8,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 8, 'class_weight': None}",0.6213592233009708,0.6666666666666666,0.6103286384976526,0.6037735849056604,0.6571428571428571,0.6318541941027614,0.02535128909340723,19,0.6473429951690821,0.6543665436654367,0.653610771113831,0.6577017114914425,0.652014652014652,0.6530073346908888,0.0033858209997754923
0.77196044921875,0.04711063504403325,0.06720457077026368,0.004383370187089922,300,5,10,sqrt,5,,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': None}",0.6294416243654822,0.6444444444444445,0.6341463414634146,0.6153846153846154,0.6699507389162561,0.6386735529148426,0.01821902474210246,12,0.6743886743886743,0.6753246753246753,0.6725888324873096,0.6793893129770993,0.6736020806241872,0.6750587151603892,0.0023450318328618203
1.4393463611602784,0.0705624509302498,0.10357079505920411,0.019207975811603335,600,5,10,sqrt,8,balanced,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 8, 'class_weight': 'balanced'}",0.4962962962962963,0.5247148288973384,0.44155844155844154,0.48028673835125446,0.47651006711409394,0.48387327444348494,0.027129280077319153,35,0.5651777575205105,0.5608656447249775,0.5196324143692564,0.5662100456621004,0.498793242156074,0.5421358208865839,0.02773549307041712
1.6135030746459962,0.11238089336278428,0.12585597038269042,0.02150611628448187,600,20,10,sqrt,8,balanced,"{'n_estimators': 600, 'min_samples_split': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 8, 'class_weight': 'balanced'}",0.4962962962962963,0.5247148288973384,0.44155844155844154,0.48028673835125446,0.47651006711409394,0.48387327444348494,0.027129280077319153,35,0.5651777575205105,0.5608656447249775,0.5196324143692564,0.5662100456621004,0.498793242156074,0.5421358208865839,0.02773549307041712
0.7424383640289307,0.06867899602092281,0.06628003120422363,0.014943991374026924,300,5,10,sqrt,5,balanced,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 5, 'class_weight': 'balanced'}",0.30115830115830117,0.2862523540489642,0.27106227106227104,0.27898550724637683,0.2907662082514735,0.2856449283534773,0.010239755785223322,40,0.29980657640232106,0.2880963408985642,0.293119698397738,0.2882380288238029,0.3150406504065041,0.296860258985786,0.01004338912168697
0.6846414089202881,0.06326553951635792,0.0742685317993164,0.00713794039839432,300,10,20,log2,16,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': 16, 'class_weight': 'balanced'}",0.5630252100840336,0.5964912280701754,0.5469387755102041,0.5425101214574899,0.5907172995780591,0.5679365269399923,0.022117247806853355,30,0.6365503080082136,0.6238716148445336,0.6289180990899899,0.6372045220966084,0.6206206206206206,0.6294330329319932,0.0066318140368546675
1.458532953262329,0.09844748253419261,0.296759033203125,0.08209330301441482,600,5,5,sqrt,8,,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 8, 'class_weight': None}",0.7317073170731707,0.7837837837837838,0.7558139534883721,0.7804878048780488,0.7738095238095238,0.7651204766065798,0.019302973640574317,2,0.8503184713375797,0.8562197092084006,0.8521462639109698,0.8398133748055988,0.8462757527733756,0.848954714407185,0.005577936819451241
1.806797409057617,0.09271529654093698,0.10411343574523926,0.012997210575050907,600,5,5,sqrt,12,balanced,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 12, 'class_weight': 'balanced'}",0.6631578947368421,0.7150837988826816,0.6372549019607843,0.6666666666666666,0.7195767195767195,0.6803479963647387,0.03189094499383994,10,0.8190224570673712,0.8337801608579088,0.7984595635430038,0.8010335917312662,0.8266666666666667,0.8157924879732434,0.01393192108789806
