mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_max_iter,param_max_depth,param_learning_rate,param_l2_regularization,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9801061630249024,0.038520610851212035,0.011148405075073243,0.0022259344133700723,20,200,,0.2,1.0,"{'min_samples_leaf': 20, 'max_iter': 200, 'max_depth': None, 'learning_rate': 0.2, 'l2_regularization': 1.0}",0.7973856209150327,0.8671328671328671,0.8187919463087249,0.8531468531468531,0.8571428571428571,0.838720028929267,0.026307736481859797,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5108119964599609,0.00582865089163267,0.007746410369873047,0.002804198822567976,10,400,3,0.1,0.0,"{'min_samples_leaf': 10, 'max_iter': 400, 'max_depth': 3, 'learning_rate': 0.1, 'l2_regularization': 0.0}",0.759493670886076,0.8435374149659864,0.7560975609756098,0.7755102040816326,0.8266666666666667,0.7922611035151943,0.03598639179945118,23,0.992,0.9952,0.9872611464968153,0.985553772070626,0.9839743589743589,0.9887978555083601,0.0041807380733033155
0.26275296211242677,0.025959493648961808,0.004577064514160156,0.0012325985756459995,10,200,3,0.05,0.1,"{'min_samples_leaf': 10, 'max_iter': 200, 'max_depth': 3, 'learning_rate': 0.05, 'l2_regularization': 0.1}",0.6781609195402298,0.8,0.7165775401069518,0.6923076923076923,0.7613636363636364,0.7296819576637021,0.04510284843106617,30,0.7970588235294118,0.8108108108108109,0.8005865102639296,0.7895500725689405,0.8194233687405159,0.8034859171827217,0.010503126079681882
1.9687007427215577,0.04014012186382811,0.02409205436706543,0.005285755231006566,10,400,,0.03,0.0,"{'min_samples_leaf': 10, 'max_iter': 400, 'max_depth': None, 'learning_rate': 0.03, 'l2_regularization': 0.0}",0.7947019867549668,0.8551724137931035,0.8266666666666667,0.8309859154929577,0.8571428571428571,0.8329339679701103,0.022739292642109644,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.3642346382141113,0.03862778225574244,0.023545503616333008,0.008393512220470127,50,400,,0.1,1.0,"{'min_samples_leaf': 50, 'max_iter': 400, 'max_depth': None, 'learning_rate': 0.1, 'l2_regularization': 1.0}",0.7870967741935484,0.8194444444444444,0.8181818181818182,0.8157894736842105,0.8435374149659864,0.8168099850940017,0.017928157491522417,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0563735961914062,0.021864195884184544,0.016206979751586914,0.003344788339886865,50,400,7,0.2,0.1,"{'min_samples_leaf': 50, 'max_iter': 400, 'max_depth': 7, 'learning_rate': 0.2, 'l2_regularization': 0.1}",0.7712418300653595,0.8201438848920863,0.8051948051948052,0.8027210884353742,0.8333333333333334,0.8065269883841918,0.020810103239026146,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.7714296817779541,0.02127662854339422,0.010334920883178712,0.005741125054926939,10,200,7,0.2,1.0,"{'min_samples_leaf': 10, 'max_iter': 200, 'max_depth': 7, 'learning_rate': 0.2, 'l2_regularization': 1.0}",0.8104575163398693,0.8652482269503546,0.8108108108108109,0.8652482269503546,0.8732394366197183,0.8450008435342216,0.028211809587943965,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3818967342376709,0.011120173126707733,0.00695505142211914,0.004510080349397646,20,200,5,0.03,0.1,"{'min_samples_leaf': 20, 'max_iter': 200, 'max_depth': 5, 'learning_rate': 0.03, 'l2_regularization': 0.1}",0.7439024390243902,0.8456375838926175,0.8098159509202454,0.8205128205128205,0.7738095238095238,0.7987356636319195,0.03584634547524601,22,0.8856682769726248,0.8842443729903537,0.8757961783439491,0.8764044943820225,0.8740031897926634,0.8792233024963227,0.00476842281443555
1.8784616947174073,0.09106886019328508,0.025596046447753908,0.004599763346975716,10,800,5,0.05,0.1,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 5, 'learning_rate': 0.05, 'l2_regularization': 0.1}",0.7814569536423841,0.8591549295774648,0.8137931034482758,0.8391608391608392,0.8413793103448276,0.8269890272347583,0.026971023922989622,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4772796630859375,0.017497813000057646,0.011481952667236329,0.005001286848131059,20,400,3,0.03,0.1,"{'min_samples_leaf': 20, 'max_iter': 400, 'max_depth': 3, 'learning_rate': 0.03, 'l2_regularization': 0.1}",0.7218934911242604,0.7950310559006211,0.7904191616766467,0.6900584795321637,0.7351351351351352,0.7465074646737654,0.04050787956872476,27,0.815592203898051,0.8065967016491754,0.8290468986384266,0.8053491827637445,0.8162650602409639,0.8145700094380723,0.008509943375983297
